state_index,basis_state,penalized_energy,feasibility,decoded_route_id,decoded_route,true_route_cost,is_optimal_route
515,11000000010000,44.0,False,,,,False
516,00100000010000,21.0,False,,,,False
517,10100000010000,35.0,False,,,,False
518,01100000010000,37.0,False,,,,False
519,11100000010000,63.0,False,,,,False
520,00010000010000,39.0,False,,,,False
521,10010000010000,29.0,False,,,,False
522,01010000010000,55.0,False,,,,False
523,11010000010000,57.0,False,,,,False
524,00110000010000,34.0,False,,,,False
525,10110000010000,36.0,False,,,,False
526,01110000010000,62.0,False,,,,False
527,11110000010000,76.0,False,,,,False
528,00001000010000,30.0,False,,,,False
529,10001000010000,20.0,False,,,,False
530,01001000010000,34.0,False,,,,False
531,11001000010000,36.0,False,,,,False
532,00101000010000,37.0,False,,,,False
533,10101000010000,39.0,False,,,,False
534,01101000010000,53.0,False,,,,False
535,11101000010000,67.0,False,,,,False
536,00011000010000,55.0,False,,,,False
537,10011000010000,33.0,False,,,,False
538,01011000010000,71.0,False,,,,False
539,11011000010000,61.0,False,,,,False
540,00111000010000,62.0,False,,,,False
541,10111000010000,52.0,False,,,,False
542,01111000010000,90.0,False,,,,False
543,11111000010000,92.0,False,,,,False
544,00000100010000,57.0,False,,,,False
545,10000100010000,47.0,False,,,,False
546,01000100010000,61.0,False,,,,False
547,11000100010000,63.0,False,,,,False
548,00100100010000,52.0,False,,,,False
549,10100100010000,54.0,False,,,,False
550,01100100010000,68.0,False,,,,False
551,11100100010000,82.0,False,,,,False
552,00010100010000,82.0,False,,,,False
553,10010100010000,60.0,False,,,,False
554,01010100010000,98.0,False,,,,False
555,11010100010000,88.0,False,,,,False
556,00110100010000,77.0,False,,,,False
557,10110100010000,67.0,False,,,,False
558,01110100010000,105.0,False,,,,False
559,11110100010000,107.0,False,,,,False
560,00001100010000,73.0,False,,,,False
561,10001100010000,51.0,False,,,,False
562,01001100010000,77.0,False,,,,False
563,11001100010000,67.0,False,,,,False
564,00101100010000,80.0,False,,,,False
565,10101100010000,70.0,False,,,,False
566,01101100010000,96.0,False,,,,False
567,11101100010000,98.0,False,,,,False
568,00011100010000,110.0,False,,,,False
569,10011100010000,76.0,False,,,,False
570,01011100010000,126.0,False,,,,False
571,11011100010000,104.0,False,,,,False
572,00111100010000,117.0,False,,,,False
573,10111100010000,95.0,False,,,,False
574,01111100010000,145.0,False,,,,False
575,11111100010000,135.0,False,,,,False
576,00000010010000,28.0,False,,,,False
577,10000010010000,30.0,False,,,,False
578,01000010010000,20.0,False,,,,False
579,11000010010000,34.0,False,,,,False
580,00100010010000,35.0,False,,,,False
581,10100010010000,49.0,False,,,,False
582,01100010010000,39.0,False,,,,False
583,11100010010000,65.0,False,,,,False
584,00010010010000,29.0,False,,,,False
585,10010010010000,19.0,False,,,,False
586,01010010010000,33.0,False,,,,False
587,11010010010000,35.0,False,,,,False
588,00110010010000,36.0,False,,,,False
589,10110010010000,38.0,False,,,,False
590,01110010010000,52.0,False,,,,False
591,11110010010000,66.0,False,,,,False
592,00001010010000,44.0,False,,,,False
593,10001010010000,34.0,False,,,,False
594,01001010010000,36.0,False,,,,False
595,11001010010000,38.0,False,,,,False
596,00101010010000,63.0,False,,,,False
597,10101010010000,65.0,False,,,,False
598,01101010010000,67.0,False,,,,False
599,11101010010000,81.0,False,,,,False
600,00011010010000,57.0,False,,,,False
601,10011010010000,35.0,False,,,,False
602,01011010010000,61.0,False,,,,False
603,11011010010000,51.0,False,,,,False
604,00111010010000,76.0,False,,,,False
605,10111010010000,66.0,False,,,,False
606,01111010010000,92.0,False,,,,False
607,11111010010000,94.0,False,,,,False
608,00000110010000,59.0,False,,,,False
609,10000110010000,49.0,False,,,,False
610,01000110010000,51.0,False,,,,False
611,11000110010000,53.0,False,,,,False
612,00100110010000,66.0,False,,,,False
613,10100110010000,68.0,False,,,,False
614,01100110010000,70.0,False,,,,False
615,11100110010000,84.0,False,,,,False
616,00010110010000,72.0,False,,,,False
617,10010110010000,50.0,False,,,,False
618,01010110010000,76.0,False,,,,False
619,11010110010000,66.0,False,,,,False
620,00110110010000,79.0,False,,,,False
621,10110110010000,69.0,False,,,,False
622,01110110010000,95.0,False,,,,False
623,11110110010000,97.0,False,,,,False
624,00001110010000,87.0,False,,,,False
625,10001110010000,65.0,False,,,,False
626,01001110010000,79.0,False,,,,False
627,11001110010000,69.0,False,,,,False
628,00101110010000,106.0,False,,,,False
629,10101110010000,96.0,False,,,,False
630,01101110010000,110.0,False,,,,False
631,11101110010000,112.0,False,,,,False
632,00011110010000,112.0,False,,,,False
633,10011110010000,78.0,False,,,,False
634,01011110010000,116.0,False,,,,False
635,11011110010000,94.0,False,,,,False
636,00111110010000,131.0,False,,,,False
