algorithm,depth,n_parameters,evaluation_budget,nfev,optimizer_wall_time_s,wall_time_s,status
global_grover,81,162,388,388,6.355944951996207,6.373921330086887,BUDGET_LIMITED
global_grover,82,164,392,392,6.4731096611358225,6.4910627889912575,BUDGET_LIMITED
global_grover,83,166,396,396,7.598136738874018,7.615995771950111,BUDGET_LIMITED
global_grover,84,168,400,400,6.968091904884204,6.9860837298911065,BUDGET_LIMITED
global_grover,85,170,404,404,8.420233902987093,8.438103781081736,BUDGET_LIMITED
global_grover,86,172,408,408,6.649233999894932,6.668140559922904,BUDGET_LIMITED
global_grover,87,174,412,412,7.922271603019908,7.941623472142965,BUDGET_LIMITED
global_grover,88,176,416,416,7.813235347159207,7.832579982932657,BUDGET_LIMITED
global_grover,89,178,420,420,7.828742684097961,7.847998617915437,BUDGET_LIMITED
global_grover,90,180,424,424,8.492176200961694,8.511531034018844,BUDGET_LIMITED
global_grover,91,182,428,428,7.850014386000112,7.869752612896264,BUDGET_LIMITED
global_grover,92,184,432,432,8.621466787997633,8.641815932001919,BUDGET_LIMITED
global_grover,93,186,436,436,8.748644936829805,8.768847867846489,BUDGET_LIMITED
global_grover,94,188,440,440,10.654663895023987,10.675322821130976,BUDGET_LIMITED
global_grover,95,190,444,444,10.972463803132996,10.993016436928883,BUDGET_LIMITED
global_grover,96,192,448,448,8.591111513087526,8.612038472201675,BUDGET_LIMITED
global_grover,97,194,452,452,17.495609156088904,17.516248122090474,BUDGET_LIMITED
global_grover,98,196,456,456,11.029664356959984,11.05105717596598,BUDGET_LIMITED
global_grover,99,198,460,460,12.559940048959106,12.58100262703374,BUDGET_LIMITED
global_grover,100,200,464,464,11.27747160801664,11.298627637093887,BUDGET_LIMITED
global_grover,101,202,468,468,11.151851085014641,11.173421910963953,BUDGET_LIMITED
global_grover,102,204,472,472,10.660244768951088,10.681777260033414,BUDGET_LIMITED
global_grover,103,206,476,476,11.712686154991388,11.73440069006756,BUDGET_LIMITED
global_grover,104,208,480,480,12.960266289068386,12.981744315009564,BUDGET_LIMITED
global_grover,105,210,484,484,12.143587552011013,12.165425807936117,BUDGET_LIMITED
global_grover,106,212,488,488,11.659941174089909,11.682379814097658,BUDGET_LIMITED
global_grover,107,214,492,492,12.383922779001296,12.405796240083873,BUDGET_LIMITED
global_grover,108,216,496,496,12.607527950080112,12.629896475933492,BUDGET_LIMITED
global_grover,109,218,500,500,13.168621556134894,13.191299104131758,BUDGET_LIMITED
global_grover,110,220,504,504,12.659797137835994,12.682864609872922,BUDGET_LIMITED
penalty_x,1,2,120,120,0.8426751929800957,0.8496705789584666,BUDGET_LIMITED
penalty_x,2,4,120,120,0.5513747241348028,0.5602858911734074,BUDGET_LIMITED
