p,penalty_x_p_opt,penalty_x_p_feas,penalty_x_p_opt_given_feasible,penalty_x_expected_penalized_cost,penalty_x_nfev,penalty_x_status,global_grover_p_opt,global_grover_p_feas,global_grover_p_opt_given_feasible,global_grover_expected_penalized_cost,global_grover_nfev,global_grover_status
45,8.713713582593884e-05,0.07244109053368111,0.0012028689129883387,27.007449352388715,244,BUDGET_LIMITED,0.0005070246504258673,0.009740607527635458,0.05205267217546419,44.999782777509026,244,BUDGET_LIMITED
46,7.405240145701492e-05,0.06819269446718498,0.0010859286619426614,27.04702790992584,248,BUDGET_LIMITED,0.0005104747874444683,0.009839130594872375,0.05188210304988738,44.97038064546652,248,BUDGET_LIMITED
47,7.232038732973008e-05,0.0662238635700316,0.0010920593186661697,26.498041835228573,252,BUDGET_LIMITED,0.0005119269793257072,0.00991563000276684,0.05162828576528773,44.93594891086293,252,BUDGET_LIMITED
48,5.723363403543194e-05,0.07256670713694793,0.0007887037498810659,26.40664481264077,256,BUDGET_LIMITED,0.0005113562114653048,0.00994899609652122,0.05139776983570296,44.92168046517454,256,BUDGET_LIMITED
49,5.7855643372662973e-05,0.07373639706489936,0.0007846280219216722,26.13208911267578,260,BUDGET_LIMITED,0.0005120713212951294,0.010020941569547756,0.05110012045686832,44.88772700186798,260,BUDGET_LIMITED
50,4.566694964479663e-05,0.07444995442905987,0.0006133912370397846,25.774954984051227,264,BUDGET_LIMITED,0.0005116045802984566,0.010065515719616084,0.05082745827930315,44.88302208071629,264,BUDGET_LIMITED
51,4.782005495461137e-05,0.07444968674728077,0.0006423137160662127,25.743491380391603,268,BUDGET_LIMITED,0.0005096906213395035,0.010056784982740763,0.05068126863746451,44.87427351351085,268,BUDGET_LIMITED
52,5.324403942763739e-05,0.07375367514854711,0.0007219171020345588,25.979962670319054,272,BUDGET_LIMITED,0.0005157028726057424,0.01001830132406054,0.05147607921985737,44.872410862953615,272,BUDGET_LIMITED
53,3.564197228907962e-05,0.06455766527186334,0.0005520951251719714,25.886792660191148,276,BUDGET_LIMITED,0.0005065880000993981,0.009909784963238192,0.05111997908921949,44.823518266849725,276,BUDGET_LIMITED
54,3.424432195647372e-05,0.06737707336965942,0.0005082488781991871,25.593309559274786,280,BUDGET_LIMITED,0.0004982862743641862,0.009796792893285873,0.05086218314420849,44.78788852596777,280,BUDGET_LIMITED
55,2.3756778143392174e-05,0.08325974692706321,0.00028533329754417184,25.15840125461294,284,BUDGET_LIMITED,0.00047955487572839663,0.009537000743548924,0.0502836152186294,44.260625980945605,284,BUDGET_LIMITED
56,4.2178058507047414e-05,0.08571730375720837,0.0004920600235690505,24.72824212578483,288,BUDGET_LIMITED,0.0004850709709341603,0.009564517658464972,0.050715675191927066,43.8327998428026,288,BUDGET_LIMITED
57,4.4621990150131636e-05,0.09133119278317568,0.0004885733864887347,24.314289021783928,292,BUDGET_LIMITED,0.0005486692664725917,0.011160876556038493,0.04916005151725642,42.15849788181534,292,BUDGET_LIMITED
58,8.160772075311085e-05,0.10343778481834322,0.0007889546445375817,23.931801683890328,296,BUDGET_LIMITED,0.000546733139135821,0.011274857454065807,0.048491357107017304,41.71250085735825,296,BUDGET_LIMITED
59,9.75011227860039e-05,0.10472321792860442,0.0009310363519623296,23.45501486412879,300,BUDGET_LIMITED,0.0005504025416044073,0.01141588450745739,0.04821374473829502,41.5610164224082,300,BUDGET_LIMITED
60,0.00015014076127738737,0.10866566953040295,0.001381676125737028,23.178378409381786,304,BUDGET_LIMITED,0.0005500524917635087,0.011431764208246011,0.048116150905801784,41.55848726808966,304,BUDGET_LIMITED
61,0.0001395186628900623,0.11694299874943652,0.0011930484456704987,23.126329438729492,308,BUDGET_LIMITED,0.0005817504107675144,0.01206514832239426,0.04821742718966172,39.887311434545765,308,BUDGET_LIMITED
62,0.000140173555254779,0.11758676676576293,0.0011920861429416609,23.066414099444877,312,BUDGET_LIMITED,0.0006186729298573198,0.012824627359715533,0.0482410063469511,39.59822277693593,312,BUDGET_LIMITED
63,0.00012017135528032693,0.1091201429147189,0.0011012756405042918,23.07348085662587,316,BUDGET_LIMITED,0.0006212131244801457,0.012776073366637367,0.04862316508782288,39.292363922285105,316,BUDGET_LIMITED
64,0.0001760107701358115,0.13920323345779437,0.0012644158168148944,22.000100851056242,320,BUDGET_LIMITED,0.0006219930744909824,0.01281563243852603,0.04853393521346341,39.265465982581134,320,BUDGET_LIMITED
65,0.00013770251095375182,0.14706031296665778,0.0009363675907923057,21.447846574432624,324,BUDGET_LIMITED,0.0006254361153293281,0.012910615753551093,0.04844355430199373,39.0975767338999,324,BUDGET_LIMITED
66,3.155785495506267e-05,0.13787632972675995,0.00022888522647508298,21.33832976565028,328,BUDGET_LIMITED,0.0006252252280031843,0.012912976267187787,0.048418367312568995,39.09737824007459,328,BUDGET_LIMITED
