group,stage,description,repeat_id,duration_ns,duration_ms
Analysis,core_metric_calculation,Calculate final metrics over all 16384 states,1,27605324,27.605324
Analysis,core_metric_calculation,Calculate final metrics over all 16384 states,2,27671056,27.671056
Analysis,core_metric_calculation,Calculate final metrics over all 16384 states,3,27629279,27.629279
Analysis,core_metric_calculation,Calculate final metrics over all 16384 states,4,27701623,27.701623
Analysis,core_metric_calculation,Calculate final metrics over all 16384 states,5,27615953,27.615953
Analysis,core_metric_calculation,Calculate final metrics over all 16384 states,6,27583334,27.583334
Analysis,core_metric_calculation,Calculate final metrics over all 16384 states,7,27587611,27.587611
Analysis,core_metric_calculation,Calculate final metrics over all 16384 states,8,27654535,27.654535
Analysis,core_metric_calculation,Calculate final metrics over all 16384 states,9,27640920,27.64092
Analysis,core_metric_calculation,Calculate final metrics over all 16384 states,10,27630771,27.630771
Analysis,core_metric_calculation,Calculate final metrics over all 16384 states,11,27618298,27.618298
Analysis,core_metric_calculation,Calculate final metrics over all 16384 states,12,27638926,27.638926
Analysis,core_metric_calculation,Calculate final metrics over all 16384 states,13,27580708,27.580708
Analysis,core_metric_calculation,Calculate final metrics over all 16384 states,14,27633817,27.633817
Analysis,core_metric_calculation,Calculate final metrics over all 16384 states,15,27699068,27.699068
Analysis,core_metric_calculation,Calculate final metrics over all 16384 states,16,27598631,27.598631
Analysis,core_metric_calculation,Calculate final metrics over all 16384 states,17,27508515,27.508515
Analysis,core_metric_calculation,Calculate final metrics over all 16384 states,18,27540354,27.540354
Analysis,core_metric_calculation,Calculate final metrics over all 16384 states,19,27612007,27.612007
Analysis,core_metric_calculation,Calculate final metrics over all 16384 states,20,27625903,27.625903
Analysis,core_metric_calculation,Calculate final metrics over all 16384 states,21,27579477,27.579477
Analysis,core_metric_calculation,Calculate final metrics over all 16384 states,22,27592500,27.5925
Analysis,core_metric_calculation,Calculate final metrics over all 16384 states,23,27590306,27.590306
Analysis,core_metric_calculation,Calculate final metrics over all 16384 states,24,27607337,27.607337
Analysis,core_metric_calculation,Calculate final metrics over all 16384 states,25,27610103,27.610103
Analysis,core_metric_calculation,Calculate final metrics over all 16384 states,26,27601647,27.601647
Analysis,core_metric_calculation,Calculate final metrics over all 16384 states,27,27639688,27.639688
Analysis,core_metric_calculation,Calculate final metrics over all 16384 states,28,27609121,27.609121
Analysis,core_metric_calculation,Calculate final metrics over all 16384 states,29,27601046,27.601046
Analysis,core_metric_calculation,Calculate final metrics over all 16384 states,30,27512021,27.512021
Analysis,finite_shot_sampling_4096,One multinomial finite-shot sample with 4096 shots,0,732841,0.732841
Analysis,finite_shot_sampling_4096,One multinomial finite-shot sample with 4096 shots,1,736318,0.736318
Analysis,finite_shot_sampling_4096,One multinomial finite-shot sample with 4096 shots,2,726549,0.726549
Analysis,finite_shot_sampling_4096,One multinomial finite-shot sample with 4096 shots,3,730076,0.730076
