A,p,selected_start_id,shots,replicate_id,p_feas_hat,p_opt_hat,invalid_mass_hat,feasible_observation_count,exact_optimum_observation_count,most_frequent_state_index,most_frequent_canonical_bitstring,most_frequent_qiskit_display_bitstring,most_frequent_observation_count
2,2,2,256,190,0.05078125,0.0078125,0.94921875,13,2,4,00100000000000,00000000000100,4
2,2,2,256,191,0.046875,0.01171875,0.953125,12,3,10240,00000000000101,10100000000000,4
2,2,2,256,192,0.07421875,0.00390625,0.92578125,19,1,10241,10000000000101,10100000000001,4
2,2,2,256,193,0.03125,0.0,0.96875,8,0,4617,10010000010010,01001000001001,4
2,2,2,256,194,0.04296875,0.0,0.95703125,11,0,1,10000000000000,00000000000001,3
2,2,2,256,195,0.0546875,0.0078125,0.9453125,14,2,8194,01000000000001,10000000000010,3
2,2,2,256,196,0.05859375,0.0,0.94140625,15,0,4609,10000000010010,01001000000001,4
2,2,2,256,197,0.05078125,0.0,0.94921875,13,0,8193,10000000000001,10000000000001,4
2,2,2,256,198,0.04296875,0.00390625,0.95703125,11,1,8200,00010000000001,10000000001000,5
2,2,2,256,199,0.0703125,0.00390625,0.9296875,18,1,10273,10000100000101,10100000100001,4
2,2,2,1024,0,0.044921875,0.0,0.955078125,46,0,8192,00000000000001,10000000000000,16
2,2,2,1024,1,0.046875,0.001953125,0.953125,48,2,0,00000000000000,00000000000000,13
2,2,2,1024,2,0.052734375,0.0009765625,0.947265625,54,1,0,00000000000000,00000000000000,14
2,2,2,1024,3,0.04296875,0.0009765625,0.95703125,44,1,0,00000000000000,00000000000000,12
2,2,2,1024,4,0.0546875,0.0029296875,0.9453125,56,3,8193,10000000000001,10000000000001,11
2,2,2,1024,5,0.0478515625,0.001953125,0.9521484375,49,2,8193,10000000000001,10000000000001,14
2,2,2,1024,6,0.0625,0.0029296875,0.9375,64,3,8201,10010000000001,10000000001001,13
2,2,2,1024,7,0.048828125,0.0029296875,0.951171875,50,3,8201,10010000000001,10000000001001,11
2,2,2,1024,8,0.0380859375,0.0,0.9619140625,39,0,1,10000000000000,00000000000001,10
2,2,2,1024,9,0.0439453125,0.0009765625,0.9560546875,45,1,10752,00000000010101,10101000000000,11
2,2,2,1024,10,0.0537109375,0.001953125,0.9462890625,55,2,8194,01000000000001,10000000000010,11
2,2,2,1024,11,0.0546875,0.00390625,0.9453125,56,4,1,10000000000000,00000000000001,10
2,2,2,1024,12,0.0400390625,0.0,0.9599609375,41,0,8192,00000000000001,10000000000000,12
2,2,2,1024,13,0.056640625,0.00390625,0.943359375,58,4,0,00000000000000,00000000000000,13
2,2,2,1024,14,0.05859375,0.00390625,0.94140625,60,4,0,00000000000000,00000000000000,16
