algorithm,depth,seed,representation,search_dimension,mixer_type,parameter_count,initialization_source,evaluation_budget,evaluation_budget_used,optimizer_reason,optimizer_success,optimizer_wall_time_seconds,p_feas,p_opt,invalid_mass,expected_cost_full,expected_cost_feasible,feasible_conditional_p_opt,normalized_regret,bsp
penalty_x,60,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),120,continuation_from_p59_plus_seed_small_angle,260,260,evaluation_budget_exhausted,False,31.52201159996912,0.0011449187409920234,5.71625595181008e-05,0.998855081259008,26.114066646260483,12.200702104260984,0.04992717602698326,1.6114066646260483,nan
penalty_x,61,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),122,continuation_from_p60_plus_seed_small_angle,263,263,evaluation_budget_exhausted,False,28.474507200007793,0.0011421363469279883,5.702045274393046e-05,0.998857863653072,26.118411034470604,12.200729043193126,0.049924383281644745,1.6118411034470603,nan
penalty_x,62,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),124,continuation_from_p61_plus_seed_small_angle,266,266,evaluation_budget_exhausted,False,26.370038699998986,0.0011420534983603938,5.701622143903215e-05,0.9988579465016396,26.118540591643843,12.200729846793852,0.04992429997446559,1.6118540591643842,nan
penalty_x,63,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),126,continuation_from_p62_plus_seed_small_angle,269,269,evaluation_budget_exhausted,False,28.042460399970878,0.001140310434668383,5.692719992037634e-05,0.9988596895653316,26.121268218604364,12.200746767995822,0.049922545817035785,1.6121268218604363,nan
penalty_x,64,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),128,continuation_from_p63_plus_seed_small_angle,272,272,evaluation_budget_exhausted,False,30.01742780004861,0.001139533833974332,5.68875382432029e-05,0.9988604661660255,26.122484849044334,12.200754317298047,0.049921763222068836,1.6122484849044334,nan
penalty_x,65,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),130,continuation_from_p64_plus_seed_small_angle,275,275,evaluation_budget_exhausted,False,30.576379299978726,0.0011350583054712932,5.665897787809142e-05,0.9988649416945289,26.129513366058514,12.2007979518277,0.0499172400263313,1.6129513366058514,nan
penalty_x,66,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),132,continuation_from_p65_plus_seed_small_angle,278,278,evaluation_budget_exhausted,False,32.172261200030334,0.0011305657769699786,5.642956096483361e-05,0.9988694342230299,26.136602527667478,12.20084200318473,0.04991267391453338,1.6136602527667478,nan
penalty_x,67,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),134,continuation_from_p66_plus_seed_small_angle,281,281,evaluation_budget_exhausted,False,30.042751599976327,0.0011278473681035172,5.6290749647960134e-05,0.9988721526318964,26.14090611819666,12.200868763180297,0.049909900257703664,1.614090611819666,nan
penalty_x,68,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),136,continuation_from_p67_plus_seed_small_angle,284,284,evaluation_budget_exhausted,False,32.91119820001768,0.0011270124112592607,5.624811536844137e-05,0.9988729875887408,26.14222969851977,12.200876995806953,0.04990904696922802,1.614222969851977,nan
penalty_x,69,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),138,continuation_from_p68_plus_seed_small_angle,287,287,evaluation_budget_exhausted,False,38.33688969997456,0.0011240618896100596,5.6097461394914654e-05,0.9988759381103899,26.146914788906315,12.200906147429425,0.049906025560901304,1.6146914788906315,nan
penalty_x,70,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),140,continuation_from_p69_plus_seed_small_angle,290,290,evaluation_budget_exhausted,False,37.228322400012985,0.001121321227883057,5.595752882054514e-05,0.9988786787721169,26.151278283899032,12.20093331307369,0.049903210096349813,1.615127828389903,nan
penalty_x,71,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),142,continuation_from_p70_plus_seed_small_angle,293,293,evaluation_budget_exhausted,False,38.313742299971636,0.0011172792673078548,5.575116569135911e-05,0.9988827207326921,26.15773334838776,12.200973526457208,0.04989904254259956,1.6157733348387762,nan
penalty_x,72,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),144,continuation_from_p71_plus_seed_small_angle,296,296,evaluation_budget_exhausted,False,37.454207200033125,0.001115025137527415,5.563608649317288e-05,0.9988849748624726,26.161343360336716,12.200996029585513,0.049896710505152146,1.6161343360336715,nan
penalty_x,73,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),146,continuation_from_p72_plus_seed_small_angle,299,299,evaluation_budget_exhausted,False,36.71343850000994,0.0011138951152279528,5.557839708754585e-05,0.9988861048847721,26.163156375269335,12.201007335030058,0.04989553893157349,1.6163156375269334,nan
penalty_x,74,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),148,continuation_from_p73_plus_seed_small_angle,302,302,evaluation_budget_exhausted,False,37.742385799996555,0.0011136430934439966,5.556553127354045e-05,0.9988863569065561,26.16356077767039,12.201009857022669,0.04989527758098987,1.6163560777670392,nan
